author,title,page_count,rating,ratingCount,firstPub_year,ogPub_year,Binding,language,followers,review_counts,Publisher,genres
William Golding,Lord of the Flies,182,3.69,2518609,1954,1999,Paperback,English,"3,544",43535,PenguinBooks,Classics
William Shakespeare,Romeo and Juliet,281,3.75,2273846,1597,2002,Mass Market Paperback,English,"38,624",22703,WashingtonSquarePress,Classics
Antoine de Saint-Exupéry,The Little Prince,96,4.31,1662166,1943,2000,Paperback,English,"6,901",49315,"Harcourt,Inc.",Classics
Cassandra Clare,"City of Bones (The Mortal Instruments, #1)",485,4.09,1793892,,,,,,,,
L.M. Montgomery,"Anne of Green Gables (Anne of Green Gables, #1)",320,4.28,831561,1908,2003,Paperback,English,"9,678",28459,SignetBook,Classics
,The Help,,,,,,,,,,,
Orson Scott Card,"Ender's Game (Ender's Saga, #1)",324,4.3,1233823,1985,2004,Mass Market Paperback,English,"17,970",45377,Tor,Science Fiction
Rick Riordan,"The Lightning Thief (Percy Jackson and the Olympians, #1)",377,4.28,2361688,2005,2006,Paperback,English,"373,355",72022,DisneyHyperionBooks,Fantasy
E.B. White,Charlotte's Web,184,4.18,1592021,1952,2001,Paperback,English,"2,386",20207,HarperCollinsPublishers,Classics
John Steinbeck,Of Mice and Men,112,3.88,2175329,1937,2002,Paperback,English,"19,304",39871,PenguinBooks,Classics
,Dracula,,,,,,,,,,,
Audrey Niffenegger,The Time Traveler's Wife,500,3.98,1665983,2003,2013,ebook,English,"11,212",49084,ZolaBooks,Fiction
,Brave New World,,,,,,,,,,,
Gabriel García Márquez,One Hundred Years of Solitude,417,4.1,835926,1967,2003,Mass Market Paperback,English,"31,842",35550,Harper,Fiction
J.D. Salinger,The Catcher in the Rye,277,3.81,3046736,1951,2001,Paperback,English,"13,674",66136,BackBayBooks,Classics
William Goldman,The Princess Bride,456,4.26,833167,1973,2003,Paperback,English,"2,325",22208,BallantineBooks,Fantasy
Khaled Hosseini,A Thousand Splendid Suns,372,4.4,1295537,2007,2007,Hardcover,English,"145,157",61733,RiverheadBooks,Fiction
Frances Hodgson Burnett,The Secret Garden,331,4.14,1007135,1910,1998,Hardcover,English,"3,617",22249,Children'sClassics,Classics
George R.R. Martin,"A Game of Thrones (A Song of Ice and Fire, #1)",835,4.44,2197253,1996,2005,Mass Market Paperback,English,"100,284",57064,Bantam,Fantasy
Madeleine L'Engle,"A Wrinkle in Time (Time Quintet, #1)",218,3.99,1111097,1962,2017,Paperback,English,"7,957",35847,SquareFish,Fantasy
S.E. Hinton,The Outsiders,192,4.11,1088031,1967,1997,Mass Market Paperback,English,"5,882",37688,PuffinBooks(US/CAN),Classics
,,,,,,,,,,,,
Homer,The Odyssey,541,3.79,943007,-800,2006,Paperback,English,"4,528",14574,PenguinClassics,Classics
Alice Sebold,The Lovely Bones,372,3.83,2161288,2002,2006,Mass Market Paperback,English,"4,425",42495,"Little,BrownandCompany",Fiction
Maurice Sendak,Where the Wild Things Are,38,4.22,903068,1963,2000,Paperback,English,"1,763",12692,RedFox,Childrens
Dr. Seuss,Green Eggs and Ham,64,4.3,689197,1960,1988,Hardcover,English,"16,958",10261,RandomHouseBooksforYoungReaders,Childrens
Yann Martel,Life of Pi,460,3.92,1458474,2001,2006,Paperback,English,"4,390",49138,SealBooks,Fiction
Charles Dickens,A Tale of Two Cities,489,3.86,866507,1859,2003,Paperback,English,"25,203",19557,PenguinBooks,Classics
Khaled Hosseini,The Kite Runner,371,4.32,2709197,2003,2004,Paperback,English,"145,157",82308,RiverheadBooks,Fiction
Vladimir Nabokov,Lolita,331,3.88,727368,1955,1995,Paperback,English,"11,522",28934,Penguin,Classics
Sara Gruen,Water for Elephants,335,4.1,1482025,2006,2007,Paperback,English,"6,106",60076,AlgonquinBooks,Fiction
,Frankenstein: The 1818 Text,,,,,,,,,,,
Margaret Atwood,"The Handmaid's Tale (The Handmaid's Tale, #1)",314,4.12,1693733,1985,1998,Paperback,English,"71,236",79807,AnchorBooks,Fiction
Lois Lowry,"The Giver (The Giver, #1)",208,4.13,2052981,1993,2006,Paperback,English,"19,160",69927,Ember,Young Adult
,Slaughterhouse-Five,,,,,,,,,,,
Louisa May Alcott,Little Women,449,4.12,1892473,1869,2004,Paperback,English,"7,519",37467,SignetClassics,Classics
Frank Herbert,"Dune (Dune, #1)",658,4.25,1018642,1965,2019,Hardcover,English,"10,652",41828,AceBooks,Science Fiction
J.K. Rowling,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",759,4.62,3174305,,,,,,,,
George Orwell,1984,298,4.19,3700288,1949,2013,Kindle Edition,English,"37,720",84897,HoughtonMifflinHarcourt,Classics
,Catch-22,,,,,,,,,,,
Stephen King,The Stand,1152,4.34,679352,1978,1990,Hardcover,English,"786,152",24427,DoubledayBooks,Horror
Ken Follett,"The Pillars of the Earth (Kingsbridge, #1)",976,4.32,695913,1989,2002,Paperback,English,"47,615",33676,NALTrade,Historical
Arthur Conan Doyle,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",389,4.3,267584,1892,1998,Paperback,English,"20,144",7652,OxfordUniversityPress,Classics
Richard  Adams,"Watership Down (Watership Down, #1)",478,4.07,454252,1972,1975,Mass Market Paperback,English,"1,645",15020,AvonBooks,Classics
Sylvia Plath,The Bell Jar,294,4.03,693650,1963,2006,Paperback,English,"16,560",30848,HarperPerennialModernClassics,Classics
Roald Dahl,Matilda,240,4.32,772322,1988,1998,Paperback,English,"22,272",19017,PuffinBooks,Childrens
Charles Dickens,Great Expectations,544,3.79,713418,1860,1998,Paperback,English,"25,203",18206,OxfordUniversityPress,Classics
Leo Tolstoy,Anna Karenina,964,4.07,738413,1877,2012,Paperback,English,"20,464",28094,Vintage,Classics
J.R.R. Tolkien,"The Fellowship of the Ring (The Lord of the Rings, #1)",527,4.37,2540680,1954,1973,Mass Market Paperback,English,"62,862",27949,BallantineBooks,Fantasy
Ken Kesey,One Flew Over the Cuckoo's Nest,325,4.2,672420,1962,1963,Mass Market Paperback,English,"2,501",12714,Signet,Classics
Diana Gabaldon,"Outlander (Outlander, #1)",850,4.24,920068,1991,2005,Mass Market Paperback,English,"170,434",48776,DellPublishingCompany,Historical
Stieg Larsson,"The Girl with the Dragon Tattoo (Millennium, #1)",480,4.15,2859332,2005,2008,Hardcover,English,"14,821",71683,Knopf,Fiction
Daphne du Maurier,Rebecca,449,4.23,528474,1938,2013,ebook,English,"7,095",30456,"Little,BrownandCompany",Classics
Jodi Picoult,My Sister's Keeper,423,4.09,1122970,2004,2005,Paperback,English,"62,214",34612,WashingtonSquarePress,Fiction
J.K. Rowling,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",435,4.58,3332432,1999,2004,Mass Market Paperback,English,"217,573",65491,ScholasticInc.,Fantasy
Alice Walker,The Color Purple,304,4.24,579424,1982,2019,Paperback,English,"5,386",18134,PenguinBooks,Classics
Betty  Smith,A Tree Grows in Brooklyn,496,4.28,417239,1943,2006,Paperback,English,"1,326",22805,HarperCollinsPublishers,Classics
Fyodor Dostoevsky,The Brothers Karamazov,796,4.34,271965,1879,2002,Paperback,English,"40,744",13241,"Farrar,StrausandGiroux",Classics
Anthony Burgess,A Clockwork Orange,213,4,648214,1962,2019,Paperback,English,"3,849",16014,W.W.Norton&Company,Classics
Cormac McCarthy,The Road,241,3.97,784005,2006,2006,Hardcover,English,"18,639",49168,AlfredA.Knopf,Fiction
Frank McCourt,"Angela's Ashes (Frank McCourt, #1)",452,4.13,580957,1996,2005,Paperback,English,"2,026",12785,HarperPerennial,Nonfiction
Richelle Mead,"Vampire Academy (Vampire Academy, #1)",332,4.11,599102,,,,,,,,
,Siddhartha,,,,,,,,,,,
Philip Pullman,"The Golden Compass (His Dark Materials, #1)",399,4,1392450,1995,1996,Hardcover,English,"21,720",24777,AlfredA.KnopfBooksforYoungReaders,Fantasy
Barbara Kingsolver,The Poisonwood Bible,546,4.07,691330,1998,2005,Hardcover,English,"13,465",24497,HarperPerennialModernClassics,Fiction
Miguel de Cervantes Saavedra,Don Quixote,1023,3.88,234325,1615,2003,Paperback,English,"2,482",9541,PenguinBooks,Classics
Ayn Rand,Atlas Shrugged,1078,3.69,369789,1957,1999,Paperback,English,"8,439",18470,Plume,Fiction
Ernest Hemingway,The Old Man and the Sea,96,3.79,953019,1952,1996,Hardcover,English,"25,168",29870,Scribner,Classics
Nicholas Sparks,"The Notebook (The Notebook, #1)",227,4.12,1471733,1996,2000,Kindle Edition,English,"215,492",21571,GrandCentralPublishing,Romance
,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",,,,,,,,,,,
Edgar Allan Poe,The Complete Stories and Poems,821,4.37,232296,1849,1984,Hardcover,English,"22,058",1962,"Doubleday&Company,Inc.",Classics
Anne Rice,"Interview with the Vampire (The Vampire Chronicles, #1)",346,4.01,523670,1976,2004,Paperback,English,"23,112",11751,BallantineBooks,Horror
John Irving,A Prayer for Owen Meany,637,4.23,299364,1989,1990,Paperback,English,"13,077",14772,BlackSwan,Fiction
J.K. Rowling,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",734,4.57,2982730,2000,2002,Paperback,English,"217,573",54467,Scholastic,Fantasy
Herman Melville,"Moby-Dick or, the Whale",654,3.52,507869,1851,2003,Paperback,English,"3,338",17943,PenguinClassics,Classics
J.K. Rowling,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",652,4.57,2772563,2005,2006,Paperback,English,"217,573",45902,ScholasticInc.,Fantasy
Cassandra Clare,"Clockwork Angel (The Infernal Devices, #1)",479,4.31,752970,,,,,,,,
Sue Monk Kidd,The Secret Life of Bees,302,4.07,1190614,2001,2003,Paperback,English,"10,880",32205,PenguinBooks,Fiction
Anita Diamant,The Red Tent,324,4.19,552979,1997,1997,Hardcover,English,"3,809",20174,St.Martin'sPress,Historical
Agatha Christie,And Then There Were None,264,4.27,1019521,1939,2004,Paperback,English,"50,298",43895,St.Martin'sPress,Mystery
Albert Camus,The Stranger,123,4,826891,1942,1989,Paperback,English,"23,305",29433,VintageInternational,Classics
,"The Name of the Wind (The Kingkiller Chronicle, #1)",,,,,,,,,,,
Stephen King,The Shining,659,4.25,1266213,1977,1980,Paperback,English,"786,153",29806,NewEnglishLibrary(Hodder&Stoughton),Horror
,The Master and Margarita,,,,,,,,,,,
Jeffrey Eugenides,Middlesex,529,4.02,608112,2002,2003,Paperback,English,"8,300",24195,PicadorUSA,Fiction
Daniel Keyes,Flowers for Algernon,216,4.17,546413,1959,,Paperback,English,"1,484",23079,,Fiction
,"Harry Potter and the Chamber of Secrets (Harry Potter, …",,,,,,,,,,,
Christopher Paolini,"Eragon (The Inheritance Cycle, #1)",503,3.92,1572780,2002,2005,Paperback,English,"32,333",23925,AlfredA.Knopf,Fantasy
Mark Twain,The Adventures of Tom Sawyer,244,3.92,832397,1876,2006,Paperback,English,"16,111",11454,PenguinClassics,Classics
Franz Kafka,The Metamorphosis,201,3.84,771517,1915,1972,Paperback,English,"21,431",23228,BantamClassics,Classics
Roald Dahl,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",176,4.15,747174,1964,2005,Paperback,English,"22,272",13567,PuffinBooks,Childrens
John Green,Looking for Alaska,221,3.99,1309323,2005,2006,Paperback,English,"290,647",62751,Speak,Young Adult
Mark Haddon,The Curious Incident of the Dog in the Night-Time,226,3.89,1318287,2003,2004,Paperback,English,"3,462",48157,Vintage,Fiction
,The Very Hungry Caterpillar,,,,,,,,,,,
Jack Kerouac,On the Road,307,3.62,373284,1957,1976,Paperback,English,"9,679",16494,PenguinBooks,Classics
,The Shadow of the Wind (The Cemetery of Forgotten Books…,,,,,,,,,,,
Mitch Albom,Tuesdays with Morrie,210,4.13,869903,1997,2000,Paperback,English,"105,015",30149,Warner,Nonfiction
Milan Kundera,The Unbearable Lightness of Being,320,4.11,385858,1984,2009,Paperback,English,"14,804",18148,HarperPerennial,Fiction
Umberto Eco,The Name of the Rose,536,4.13,327395,1980,1994,Paperback,English,"9,561",10336,HarvestBooks,Fiction
Wilson Rawls,Where the Red Fern Grows,272,4.09,369561,1961,2000,Mass Market Paperback,English,563,12176,Yearling,Classics
Mario Puzo,"The Godfather (The Godfather, #1)",448,4.37,370230,1969,2002,Paperback,English,"3,731",9980,NAL,Fiction
Alexandre Dumas,The Count of Monte Cristo,1276,4.27,811585,1844,2003,Paperback,English,"9,387",24825,PenguinClassics,Classics
Nathaniel Hawthorne,The Scarlet Letter,279,3.42,770095,1850,2003,Paperback,English,"2,617",16377,PenguinBooks,Classics
Truman Capote,In Cold Blood,343,4.07,583355,1965,1994,Paperback,English,"5,441",19082,Vintage,Nonfiction
Rick Riordan,"The Last Olympian (Percy Jackson and the Olympians, #5)",381,4.52,789364,,,,,,,,
C.S. Lewis,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",206,4.22,2397700,1950,2005,Paperback,English,"36,950",25868,HarperCollinsPublishers,Fantasy
Stephen King,It,1116,4.24,921811,1986,1987,Paperback,English,"786,153",29265,NewEnglishLibrary,Horror
Chuck Palahniuk,Fight Club,224,4.19,532171,1996,2018,Paperback,English,"125,292",16459,W.W.NortonCompany,Fiction
J.R.R. Tolkien,"The Hobbit, or There and Back Again",366,4.28,3285768,1937,2002,Paperback,English,"62,862",55455,HoughtonMifflin,Fantasy
Mitch Albom,The Five People You Meet in Heaven,196,3.96,630826,2003,2003,Paperback,English,"105,015",22976,Hyperion,Fiction
,"Hush, Hush (Hush, Hush, #1)",,,,,,,,,,,
Louis Sachar,"Holes (Holes, #1)",233,3.98,1069402,1998,2000,Paperback,English,"3,281",22554,Scholastic,Young Adult
Patrick Süskind,Perfume,263,4.03,381762,1985,1987,Paperback,English,"3,151",17302,PenguinBooks,Fiction
Dr. Seuss,"The Cat in the Hat (The Cat in the Hat, #1)",61,4.17,482632,1957,1985,Hardcover,English,"16,958",6371,RandomHouseBooksforYoungReaders,Childrens
Neil Gaiman,"American Gods (American Gods, #1)",635,4.11,829295,2001,2011,Kindle Edition,English,"279,304",41665,WilliamMorrow,Fantasy
Larry McMurtry,Lonesome Dove (Lonesome Dove #1),960,4.49,164793,1985,1999,Paperback,English,"2,599",8871,PocketBooks,Fiction
Alan Moore,Watchmen,416,4.37,514958,1987,2005,Paperback,English,"17,619",15385,DCComics,Sequential Art
Dante Alighieri,The Divine Comedy,798,4.06,132961,1320,1995,Hardcover,English,"4,402",4603,Everyman'sLibrary,Classics
Jerry Weaver,The Addiction Manifesto,178,4.97,1016,2018,2021,Paperback,English,5,34,PalmettoPublishing,Nonfiction
,"The Little House Collection (Little House, #1-9)",,,,,,,,,,,
J.M. Barrie,Peter Pan,176,4.04,309219,1911,2003,Hardcover,English,"2,043",12963,HenryHoltandCo.,Classics
Erich Maria Remarque,All Quiet on the Western Front,296,4.01,385891,1928,1987,Mass Market Paperback,English,"4,307",12170,BallantineBooks,Classics
Gabriel García Márquez,Love in the Time of Cholera,348,3.93,451022,1985,2003,Paperback,English,"31,842",23030,VintageInternational,Fiction
Veronica Roth,"Insurgent (Divergent, #2)",525,4,1310913,,,,,,,,
,The Compleat Works of Wllm Shkspr (abridged),,,,,,,,,,,
Nicholas Sparks,A Walk to Remember,215,4.19,736572,1999,2000,Kindle Edition,English,"215,492",14227,GrandCentralPublishing,Romance
Colleen McCullough,The Thorn Birds,692,4.23,331328,1977,2002,Mass Market Paperback,English,"2,286",6671,AvonBooks,Fiction
Richelle Mead,"Shadow Kiss (Vampire Academy, #3)",443,4.33,346291,,,,,,,,
Terry Pratchett,Good Omens,491,4.24,619312,1990,2006,Mass Market Paperback,English,"37,580",31280,WilliamMorrow,Fantasy
Dr. Seuss,How the Grinch Stole Christmas!,64,4.36,369619,1957,2004,Hardcover,English,"16,958",3839,HarperCollinsChildren'sBooks,Childrens
,Their Eyes Were Watching God,,,,,,,,,,,
Oscar Wilde,The Importance of Being Earnest,76,4.18,328904,1895,2005,Paperback,English,"29,541",10738,PrestwickHouse,Classics
Douglas Adams,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",815,4.37,303661,1996,2002,Paperback,English,"20,566",5680,DelReyBooks,Science Fiction
Elizabeth Gilbert,"Eat, Pray, Love",368,3.59,1595690,2006,2007,Paperback,English,"29,664",55481,RiverheadBooks,Nonfiction
Ian McEwan,Atonement,351,3.92,473615,2001,2003,Paperback,English,"12,961",18834,AnchorBooks,Fiction
L. Frank Baum,"The Wonderful Wizard of Oz (Oz, #1)",154,3.98,407216,1900,1995,Paperback,English,"2,285",14321,Penguin,Classics
Alexandre Dumas,"The Three Musketeers (The D'Artagnan Romances, #1)",625,4.08,293209,1844,2001,Paperback,English,"9,387",7706,ModernLibrary,Classics
Cassandra Clare,"Clockwork Princess (The Infernal Devices, #3)",567,4.56,393863,2013,2013,Paperback,English,"251,204",34490,WalkerBooksLtd,Fantasy
,The Battle of the Labyrinth (Percy Jackson and the Olym…,,,,,,,,,,,
Richelle Mead,"Frostbite (Vampire Academy, #2)",327,4.26,332620,2008,2008,Paperback,English,"65,709",12049,Razorbill,Young Adult
Margaret Wise Brown,Goodnight Moon,32,4.29,336679,1947,2007,Hardcover,English,679,6378,HarperCollins,Childrens
Dr. Seuss,The Lorax,72,4.33,313027,1971,1998,Hardcover,English,"16,958",4510,RandomHouseBooksforYoungReaders,Childrens
Rick Riordan,"The Titan's Curse (Percy Jackson and the Olympians, #3)",320,4.35,816514,,,,,,,,
William Shakespeare,A Midsummer Night's Dream,240,3.95,481851,1595,2016,Paperback,English,"38,624",9350,Simon&SchusterPaperbacks,Classics
Rick Riordan,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",279,4.24,895422,,,,,,,,
,"Blood Promise (Vampire Academy, #4)",,,,,,,,,,,
Thomas Hardy,Tess of the D'Urbervilles,518,3.82,256226,1891,2003,Paperback,English,"5,194",9775,PenguinClassics,Classics
Joseph Conrad,Heart of Darkness,188,3.43,452918,1899,2003,Paperback,English,"3,575",15671,GreenInteger,Classics
Pearl S. Buck,"The Good Earth (House of Earth, #1)",418,3.99,234345,1931,2009,Paperback,English,"2,163",10565,HowardPublishingCo,Classics
Kahlil Gibran,The Prophet,127,4.23,261656,1923,2010,Paperback,English,"13,121",11438,Rupa&Co,Poetry
James Dashner,"The Maze Runner (The Maze Runner, #1)",384,4.04,1242415,,,,,,,,
Suzanne Collins,"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",1155,4.48,201240,2008,2010,Hardcover,English,"88,818",7030,ScholasticPress,Young Adult
Katherine Paterson,Bridge to Terabithia,190,4.02,491384,1977,2009,Kindle Edition,English,"1,694",13747,HarperCollins,Fiction
Jack London,The Call of the Wild,172,3.89,376662,1903,2001,Mass Market Paperback,English,"5,889",12720,Scholastic,Classics
,"The Mists of Avalon (Avalon, #1)",,,,,,,,,,,
Amy Tan,The Joy Luck Club,352,3.95,630558,1989,2006,Paperback,English,"8,999",10505,PenguinBooks,Fiction
Jane Carruth,Alice in Wonderland,92,4.03,384247,1865,2004,Hardcover,English,43,5396,GramercyBooks,Classics
Richard Bach,Jonathan Livingston Seagull,112,3.85,224101,1970,2006,Paperback,English,"3,018",9118,Scribner,Fiction
,The Phantom Tollbooth,,,,,,,,,,,
Gustave Flaubert,Madame Bovary,329,3.69,284408,1856,2004,Paperback,French,"3,040",12425,OxfordUniversityPress,Classics
Dr. Seuss,"Oh, the Places You'll Go!",44,4.35,365030,,,,,,,,
Charles Dickens,Oliver Twist,608,3.87,348456,1838,2003,Paperback,English,"25,203",8703,PenguinBooks,Classics
,"The Girl Who Played with Fire (Millennium, #2)",,,,,,,,,,,
Robert Louis Stevenson,Treasure Island,311,3.84,437261,1883,2001,Hardcover,English,"5,334",13438,Kingfisher,Classics
Michael Ende,The Neverending Story,396,4.17,181239,1979,1997,Hardcover,English,"2,583",7673,DuttonChildren'sBooks,Fantasy
James Joyce,Ulysses,783,3.74,116769,1922,1990,Paperback,English,"7,017",7589,Vintage,Classics
E.L. James,"Fifty Shades of Grey (Fifty Shades, #1)",356,3.66,2211677,,,,,,,,
George R.R. Martin,"A Storm of Swords (A Song of Ice and Fire, #3)",1177,4.54,706435,2000,2003,Mass Market Paperback,English,"100,284",23022,Bantam,Fantasy
Agatha Christie,"Murder on the Orient Express (Hercule Poirot, #10)",274,4.19,469862,1934,2007,Paperback,English,"50,298",29418,HarperCollins,Mystery
Jean M. Auel,The Clan of the Cave Bear (Earth's Children #1),516,4.07,245652,1980,2016,Kindle Edition,English,"3,478",7135,Bantam,Historical
Sarah J. Maas,"Throne of Glass (Throne of Glass, #1)",406,4.19,786107,2012,2012,Hardcover,English,"223,134",54161,BloomsburyUSAChildren's,Fantasy
Geoffrey Chaucer,The Canterbury Tales,521,3.51,203638,1400,2003,Paperback,English,"1,100",3680,PenguinBooks/PenguinClassics,Classics
John Irving,The World According to Garp,610,4.09,214088,1978,1999,Hardcover,English,"13,077",5904,BallantineBooks,Fiction
Ernest Hemingway,A Farewell to Arms,293,3.81,284942,1929,2004,Paperback,English,"25,168",10982,ArrowBooks,Classics
,David Copperfield,,,,,,,,,,,
Suzanne Collins,"Catching Fire (The Hunger Games, #2)",391,4.3,2896006,,,,,,,,
Kiera Cass,"The Selection (The Selection, #1)",336,4.11,1182094,,,,,,,,
John Boyne,The Boy in the Striped Pajamas,240,4.16,637768,2006,2006,Hardcover,English,"8,845",30421,DavidFicklingBooks,Childrens
Erin Morgenstern,The Night Circus,387,4.03,798423,,,,,,,,
Jay Asher,Thirteen Reasons Why,352,3.88,863289,2007,2016,Hardcover,English,"10,328",53622,Razorbill,Young Adult
Gregory Maguire,"Wicked (The Wicked Years, #1)",406,3.54,583117,1995,2000,Paperback,English,"7,074",25084,WilliamMorrowPaperbacks,Fantasy
Michael Crichton,"Jurassic Park (Jurassic Park, #1)",466,4.06,861734,1990,2012,Kindle Edition,English,"15,000",14735,BallantineBooks,Science Fiction
Frances Hodgson Burnett,A Little Princess,242,4.21,286326,1905,2002,Paperback,English,"3,617",8198,PenguinBooks,Classics
Philip Pullman,His Dark Materials (His Dark Materials #1-3),1088,4.27,152557,2000,2003,Mass Market Paperback,English,"21,720",5457,LaurelLeafLibrary,Fantasy
James Clavell,Shōgun,1152,4.4,159239,1975,2020,Paperback,,,,,
Thomas Keneally,Schindler's List,429,4.33,153986,1982,1994,Paperback,English,810,2509,Sceptre,History
,Extremely Loud & Incredibly Close,,,,,,,,,,,
Toni Morrison,Beloved,324,3.91,365812,1987,2004,Paperback,English,"15,164",15398,Vintage,Fiction
Rick Riordan,"The Lost Hero (The Heroes of Olympus, #1)",553,4.32,712434,,,,,,,,
,The Other Boleyn Girl (The Plantagenet and Tudor Novels…,,,,,,,,,,,
Richelle Mead,"Last Sacrifice (Vampire Academy, #6)",594,4.37,272452,,,,,,,,
J.R.R. Tolkien,The Silmarillion,386,3.95,240533,1977,2004,Hardcover,English,"62,862",9376,HoughtonMifflinCompany,Fantasy
Lauren Kate,"Fallen (Fallen, #1)",452,3.72,541359,,,,,,,,
Ki Longfellow,The Secret Magdalene,448,4.13,4408,2005,2007,Hardcover,English,"1,007",475,Crown,Historical
Margery Williams Bianco,The Velveteen Rabbit,40,4.28,241530,1922,1987,Paperback,English,369,4039,Avon,Classics
Franz Kafka,The Trial,255,3.96,263309,1925,2001,Paperback,English,"21,431",9291,Vintage,Classics
Cassandra Clare,"Clockwork Prince (The Infernal Devices, #2)",498,4.43,499579,,,,,,,,
John Kennedy Toole,A Confederacy of Dunces,394,3.88,249500,1980,1994,Paperback,English,"1,134",16368,GrovePress,Fiction
Homer,The Iliad/The Odyssey,1556,4.05,68199,-800,1999,Paperback,English,"4,528",901,PenguinClassics,Classics
Ernest Hemingway,The Sun Also Rises,189,3.81,390795,1926,1957,Paperback,English,"25,168",14491,PanBooks,Classics
Arthur  Miller,The Crucible,143,3.6,357438,1953,2003,Paperback,English,"2,282",8828,PenguinBooks,Classics
Marissa Meyer,"Cinder (The Lunar Chronicles, #1)",400,4.13,790171,,,,,,,,
Richelle Mead,"Spirit Bound (Vampire Academy, #5)",489,4.33,278271,,,,,,,,
Anne Frank,The Diary of a Young Girl,283,4.17,3161195,1947,1993,Mass Market Paperback,English,"4,423",33375,Bantam,Classics
Leigh Bardugo,"Six of Crows (Six of Crows, #1)",465,4.49,598421,,,,,,,,
Kurt Vonnegut Jr.,Cat's Cradle,179,4.16,361520,1963,1999,Paperback,English,"29,979",12185,Penguin,Fiction
